ST_RT_NO,CTY_CODE,JURIS,SEG_NO,LANE_CNT,STREET_NAME,TRAF_RT_NO_PREFIX,SIDE_IND,ROUTE_DIR,SPEED_LIMIT,STREET_NAME_NO_SUF,STREET_SUF,RTESIGNING,OBJECTID,GEOMETRYLEN
8041,02,1,0500,1,RAMP G RD,,1,N,20,RAMP G ,RD,2,2820710,0
8041,02,1,0510,2,RAMP D RD,,1,S,20,RAMP D ,RD,2,2820711,0
8041,02,1,0520,1,RAMP F RD,,1,E,20,RAMP F ,RD,2,2820712,0
8041,02,1,0530,1,RAMP H RD,,1,N,20,RAMP H ,RD,2,2820713,0
8041,02,1,0750,2,RAMP B RD,,1,N,20,RAMP B ,RD,2,2820714,0
8041,02,1,0760,1,RAMP C RD,,1,E,20,RAMP C ,RD,2,2820715,0
8041,02,1,0770,1,RAMP E RD,,1,E,20,RAMP E ,RD,2,2820716,0
8045,02,1,0250,1,N SHORE INT/RAMP 250 RD,,1,N,20,N SHORE INT/RAMP 250 ,RD,2,2820734,0
8078,02,1,0010,1,CROSSTOWN BL INT/RP B RD,,1,N,20,CROSSTOWN BL INT/RP B ,RD,2,2820870,0
8078,02,1,0020,1,CROSSTOWN BL INT/RP K RD,,1,E,20,CROSSTOWN BL INT/RP K ,RD,2,2820871,0
8078,02,1,0500,2,CROSSTOWN BL INT/RP J RD,,1,S,20,CROSSTOWN BL INT/RP J ,RD,2,2820876,0
8078,02,1,0510,1,CROSSTWN BL INT/RP 510 RD,,1,S,20,CROSSTWN BL INT/RP 510 ,RD,2,2820877,0
8078,02,1,0520,1,CROSSTWN BL INT/RP 520 RD,,1,S,20,CROSSTWN BL INT/RP 520 ,RD,2,2820878,0
8095,02,1,0010,1,GRANT ST INT/RP B RD,,1,E,20,GRANT ST INT/RP B ,RD,2,2820918,0
8095,02,1,0020,1,GRANT ST INT/RP C RD,,1,E,20,GRANT ST INT/RP C ,RD,2,2820919,0
8095,02,1,0260,1,GRANT ST INT/RP A RD,,1,W,20,GRANT ST INT/RP A ,RD,2,2820920,0
8095,02,1,0270,1,GRANT ST INT/RP F RD,,1,E,20,GRANT ST INT/RP F ,RD,2,2820921,0
8095,02,1,0500,2,GRANT ST INT/RP E RD,,1,W,20,GRANT ST INT/RP E ,RD,2,2820922,0
8096,02,1,0500,1,2ND AV/RAMP M RD,,1,W,20,2ND AV/RAMP M ,RD,2,2820923,0
H001,02,5,0010,4,GRANT ST,,1,N,25,GRANT ,ST,4,2892199,0
H001,02,5,0012,4,GRANT ST,,1,N,25,GRANT ,ST,4,2892200,0
H001,02,5,0020,4,GRANT ST,,1,N,25,GRANT ,ST,4,2892201,0
H001,02,5,0030,4,GRANT ST,,1,N,25,GRANT ,ST,4,2892202,0
H002,02,5,0010,2,FORBES AV,,1,E,35,FORBES ,AV,4,2892203,0
H002,02,5,0020,2,FORBES AV,,1,E,35,FORBES ,AV,4,2892204,0
H002,02,5,0030,2,FORBES AV,,1,E,25,FORBES ,AV,4,2892205,0
H002,02,5,0040,1,FORBES AV,,1,E,25,FORBES ,AV,4,2892206,0
H002,02,5,0050,1,FORBES AV,,1,E,25,FORBES ,AV,4,2892207,0
H003,02,5,0010,2,SMITHFIELD ST,,1,N,25,SMITHFIELD ,ST,4,2892208,0
H004,02,5,0050,2,FIFTH AV,,1,E,25,FIFTH ,AV,4,2892213,0
H004,02,5,0060,2,FIFTH AV,,1,E,25,FIFTH ,AV,4,2892214,0
H005,02,5,0010,1,SIXTH ST,,1,N,35,SIXTH ,ST,4,2892215,0
H005,02,5,0020,4,ROBERTO CLEMENTE BRDG,,1,N,35,ROBERTO CLEMENTE BRDG,,4,2892216,0
H005,02,5,0024,4,FEDERAL ST,,1,N,25,FEDERAL ,ST,4,2892217,0
H006,02,5,0020,4,LIBERTY AV,,1,E,25,LIBERTY ,AV,4,2892220,0
H006,02,5,0030,4,LIBERTY AV,,1,E,25,LIBERTY ,AV,4,2892221,0
H006,02,5,0032,4,LIBERTY AV,,1,E,25,LIBERTY ,AV,4,2892222,0
H006,02,5,0040,4,LIBERTY AV,,1,E,25,LIBERTY ,AV,4,2892223,0
H006,02,5,0050,4,LIBERTY AV,,1,E,25,LIBERTY ,AV,4,2892224,0
H006,02,5,0060,4,LIBERTY AV,,1,E,25,LIBERTY ,AV,4,2892225,0
H006,02,5,0070,4,LIBERTY AV,,1,E,25,LIBERTY ,AV,4,2892226,0
H007,02,5,0010,4,SEVENTH ST,,1,N,25,SEVENTH ,ST,4,2892233,0
H007,02,5,0020,4,ANDY WARHOL BRIDGE,,1,N,25,ANDY WARHOL BRIDGE,,4,2892234,0
H007,02,5,0030,4,SANDUSKY ST,,1,N,25,SANDUSKY ,ST,4,2892235,0
H009,02,5,0010,4,NINTH ST,,1,N,25,NINTH ,ST,4,2892249,0
H009,02,5,0020,4,NINTH ST BRIDGE/BK-2383,,1,N,25,NINTH ST BRIDGE/BK-2383,,4,2892250,0
H010,02,5,0010,4,SIXTH AV,,1,E,25,SIXTH ,AV,4,2892252,0
H010,02,5,0020,4,CENTRE AV,,1,E,25,CENTRE ,AV,4,2892253,0
H010,02,5,0030,2,CENTRE AV,,1,E,25,CENTRE ,AV,4,2892254,0
H010,02,5,0032,2,CENTRE AV,,1,E,25,CENTRE ,AV,4,2892255,0
H010,02,5,0040,2,CENTRE AV,,1,E,25,CENTRE ,AV,4,2892256,0
H012,02,5,0010,1,SECOND AV,,1,E,25,SECOND ,AV,4,2892270,0
H012,02,5,0020,4,SECOND AV,,1,E,25,SECOND ,AV,4,2892271,0
H012,02,5,0030,3,SECOND AV,,1,E,35,SECOND ,AV,4,2892272,0
H013,02,5,0030,4,TENTH ST BRIDGE/BK-2388,,1,N,25,TENTH ST BRIDGE/BK-2388,,4,2892276,0
H013,02,5,0040,4,ARMSTRONG TUNNEL,,1,N,25,ARMSTRONG TUNNEL,,4,2892277,0
H015,02,5,0010,2,STEVENSON ST,,1,N,25,STEVENSON ,ST,4,2892283,0
H016,02,5,0010,3,SMALLMAN ST,,1,E,25,SMALLMAN ,ST,4,2892284,0
H017,02,5,0010,2,PRIDE ST,,1,E,25,PRIDE ,ST,4,2892286,0
H017,02,5,0020,2,PRIDE ST,,1,E,25,PRIDE ,ST,4,2892287,0
H017,02,5,0030,2,CRAWFORD ST,,1,E,25,CRAWFORD ,ST,4,2892288,0
H017,02,5,0040,2,CRAWFORD ST,,1,E,25,CRAWFORD ,ST,4,2892289,0
H018,02,5,0010,2,BEDFORD AV,,1,E,25,BEDFORD ,AV,4,2892290,0
H018,02,5,0020,2,BEDFORD AV,,1,E,25,BEDFORD ,AV,4,2892291,0
H019,02,5,0010,2,MILTENBERGER ST,,1,N,25,MILTENBERGER ,ST,4,2892293,0
H019,02,5,0030,2,DEVILLIERS ST,,1,N,25,DEVILLIERS ,ST,4,2892295,0
H022,02,5,0010,2,BEDFORD AV,,1,E,25,BEDFORD ,AV,4,2892310,0
H022,02,5,0020,4,BEDFORD AV,,1,E,25,BEDFORD ,AV,4,2892311,0
H024,02,5,0010,2,CENTRE AV,,1,N,25,CENTRE ,AV,4,2892316,0
H024,02,5,0020,2,CENTRE AV,,1,N,25,CENTRE ,AV,4,2892317,0
H096,02,5,0010,4,FIFTH AV,,1,N,25,FIFTH ,AV,4,2892556,0
H096,02,5,0020,3,FIFTH AV,,1,N,35,FIFTH ,AV,4,2892557,0
H096,02,5,0030,4,FIFTH AV,,1,N,35,FIFTH ,AV,4,2892558,0
H124,02,5,0010,4,GENERAL ROBINSON ST,,1,E,25,GENERAL ROBINSON ,ST,4,2892640,0
H125,02,5,0010,2,ART ROONEY AV,,1,N,25,ART ROONEY ,AV,4,2892641,0
H126,02,5,0060,4,NORTH SHORE DR,,1,E,30,NORTH SHORE ,DR,4,2892647,0
H126,02,5,0070,4,NORTH SHORE DR,,1,E,25,NORTH SHORE ,DR,4,2892648,0
H126,02,5,0080,4,MAZEROSKI WY,,1,E,25,MAZEROSKI ,WY,4,2892649,0
H128,02,5,0010,2,TONY DORSETT DR,,1,N,25,TONY DORSETT ,DR,4,2892673,0
H128,02,5,0020,2,TONY DORSETT DR,,1,N,25,TONY DORSETT ,DR,4,2892674,0
H130,02,5,0010,3,FORBES AV,,1,N,25,FORBES ,AV,4,2892677,0
H130,02,5,0020,3,FORBES AV,,1,N,25,FORBES ,AV,4,2892678,0
H130,02,5,0030,3,FORBES AV,,1,N,25,FORBES ,AV,4,2892679,0
H130,02,5,0040,3,FORBES AV,,1,N,25,FORBES ,AV,4,2892680,0
